borough_code,block,lot,sale_price,zip_code,borough,yearbuilt,lotarea,bldgarea,resarea,comarea,unitsres,unitstotal,numfloors,latitude,longitude,landuse,bldgclass,building_age,sale_price_log
3,5450,26,2375000,11204.0,BK,1920.0,2705.0,2856.0,2856.0,0.0,2.0,2.0,2.0,40.627826,-73.9791448,1.0,B1,105.0,14.680508416503422
3,5303,113,1200000,11218.0,BK,1940.0,2667.0,2717.0,1976.0,0.0,2.0,2.0,2.0,40.6455032,-73.9843824,1.0,B1,85.0,13.997832948091215
5,3673,17,395000,10306.0,BK,1901.0,2500.0,1648.0,1648.0,0.0,2.0,2.0,2.0,40.6774705,-73.893934,1.0,B2,124.0,12.886643575525625
4,5427,8,1614600,11358.0,BK,1931.0,3010.0,3000.0,3000.0,0.0,4.0,4.0,2.0,40.6293099,-73.9741943,2.0,C3,94.0,14.294598425291303
3,1521,70,1875000,11233.0,BK,1899.0,1667.0,2001.0,1334.0,0.0,2.0,2.0,2.0,40.6810245,-73.9130263,1.0,B3,126.0,14.44411975071984
3,5257,88,2800000,11218.0,BK,1920.0,1300.0,2430.0,2430.0,0.0,2.0,2.0,3.0,40.6561787,-73.9747354,1.0,B9,105.0,14.845130332288226
3,7802,21,708702,11234.0,BK,1960.0,2500.0,2680.0,1680.0,0.0,3.0,3.0,2.0,40.6270586,-73.9235583,2.0,C0,65.0,13.471191817892253
5,3317,36,850000,10304.0,BK,1920.0,1431.0,2138.0,2138.0,0.0,2.0,2.0,2.0,40.6987193,-73.9156359,1.0,B1,105.0,13.652992804936396
3,7099,48,3000000,11223.0,BK,1931.0,1600.0,3300.0,2640.0,660.0,4.0,5.0,3.0,40.5966312,-73.97833,4.0,S4,94.0,14.914123179965662
4,8757,38,776000,11004.0,BK,1940.0,2500.0,1350.0,1350.0,0.0,1.0,1.0,1.0,40.5797199,-73.9386639,1.0,A2,85.0,13.561909087824318
2,2792,29,1200000,10457.0,BK,1920.0,2500.0,3900.0,3900.0,0.0,5.0,5.0,3.0,40.7100276,-73.947731,2.0,C2,105.0,13.997832948091215
3,5255,4,2150000,11218.0,BK,1985.0,2255.0,2836.0,2024.0,0.0,2.0,2.0,2.0,40.6556934,-73.9773737,1.0,B1,40.0,14.580978865220017
