borough_code,block,lot,sale_price,zip_code,borough,yearbuilt,lotarea,bldgarea,resarea,comarea,unitsres,unitstotal,numfloors,latitude,longitude,landuse,bldgclass,building_age,sale_price_log
4,11464,1,350000,11414.0,QN,1959.0,163600.0,76548.0,72947.0,3601.0,84.0,84.0,2.0,40.6641079,-73.8488303,2.0,C6,66.0,12.765691290604371
2,2716,135,820000,10459.0,BX,1993.0,3085.0,1680.0,1680.0,0.0,2.0,2.0,2.0,40.8259324,-73.8951969,1.0,B2,32.0,13.617060838751888
3,5665,52,2250000,11220.0,BK,1920.0,2003.0,2360.0,2360.0,0.0,2.0,2.0,2.0,40.6380906,-74.0042841,1.0,B1,105.0,14.626441218624947
1,1491,1,5175000,10075.0,BK,1901.0,2000.0,1000.0,1000.0,0.0,1.0,1.0,2.0,40.6855531,-73.9202209,1.0,A9,124.0,15.459350090352403
3,5397,8,1450000,11218.0,BK,1931.0,2500.0,5200.0,5200.0,0.0,6.0,6.0,3.0,40.6356094,-73.9752296,2.0,C2,94.0,14.187074804051692
4,11975,11,400000,11436.0,QN,1925.0,1600.0,888.0,888.0,0.0,1.0,1.0,2.0,40.6846573,-73.7981931,1.0,A5,100.0,12.899222326086994
4,12247,18,1180000,11434.0,QN,2022.0,3000.0,2090.0,2090.0,0.0,2.0,2.0,,40.6800364,-73.7838072,1.0,B1,3.0,13.981025843899117
1,803,14,2700000,10001.0,MN,1910.0,4954.0,20026.0,15226.0,4800.0,14.0,16.0,6.0,40.7463413,-73.9925728,3.0,D0,115.0,14.80876270134486
2,4313,23,956500,10461.0,BX,1940.0,1800.0,2085.0,1440.0,0.0,2.0,2.0,2.0,40.8559336,-73.8515971,1.0,B3,85.0,13.771037113340205
3,339,50,5900000,11231.0,QN,1935.0,2000.0,2425.0,1904.0,0.0,2.0,2.0,2.0,40.7590622,-73.931395,1.0,B1,90.0,15.59046307836746
